職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
工研院資通所_深度學習DNN研發工程師(S201),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. 針對深度學習核心演算法(deep learning)進行研究與開發
2. 演算法開發、優化及加速技術","1. MS/PhD, major in EE, CE, CS or related disciplines.2. Solid experience in C++ / Python/Java language.3. Familiar with UNIX, esp. Linux.4. Well background knowledge in Deep Learning and Optimization Algorithm area.5. Experience in machine learning or deep learning.*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。", C++ Java Python,其他專業／科學及技術業,0.0
(RD S/W) Deep Learning Engineer 深度學習工程師-J01472,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"*Job content
1.	Develop software with Deep Learning algorithms for Android platform and cloud  server
	透過深度學習技術與電腦視覺理論開發相關功能。
	透過手機使用者數據資料回饋整理、分析並藉由雲端平台存取彙整進行開發深度學習相關功能，強化回饋機制以便符合使用者習慣。
	其它深度學習領域實際應用。

Responsibility:
1.	Perform research to make deep learning more applicable to real world problems.
2.	Provide research result on applied projects: determine the scope of the problem, the best place to apply machine learning, and evaluate different approaches. 
3.	To design and run prototypes, including designing and evaluating new algorithms as well as implementing known algorithms.
4.	Integrate new fundamental research ideas into applied projects.
5.	To identify potential new problem areas for future projects.","	熟悉 Python, TensorFlow	熟悉深度學習架構與理論，具有實務經驗	熟悉 Android Programming, Cloud Server 者尤佳", Python,消費性電子產品製造業,0.0
『工研院RAISE職缺』深度學習瑕疵檢測工程師,聯策科技股份有限公司,40000.0,經歷不拘,"1.學習並熟悉深度學習基礎理論
2.深度學習技術整合於AOI檢測設備中
3.協助導入PCB產線終檢站
4.其他主管交辦事項",1.專長：深度學習、影像處理或機器學習、C++或C#程式語言2.具博士畢業學歷，科系：資工、電子電機、機械、應數、統計等理工科系3.對AOI檢測設備有熱忱及興趣佳4.此為RAISE計畫(https://www.raise.org.tw/)人員需求(培訓期間一年)，聯策科技與工研院巨資中心合作，工研院派駐於聯策科技（桃園）進行深度學習相關研發工作。, C# C++,其他半導體相關業,0.0
AI人工智慧/機械學習/深度學習 工程師,台元紡織股份有限公司,40000.0,2年以上,"- 提出資料收集方案及資料儲存結構 
- 建立訓練環境，訓練 Model 
- 佈建 Model 應用，優化校調 
- 工作過程需前往工廠深度了解實際情況",- 熱愛學習新技術智識。 - 熟悉 Python、R 等語言。 - 熟悉統計、數值分析、機械學習、深度學習之概念。 - 學生、正職不拘，但需有相關實務經驗半年以上。 - 對 CNN、RNN、GAN 等 Model 實作練習超過6個月以上。 - 有 Kaggle 比賽經驗佳。,,紡紗業,2.0
AI影像深度學習工程師 (AI Image Deep Learning Engineer),由田新技股份有限公司,40000.0,經歷不拘,"1. 將機器學習應用於電腦視覺及AOI領域.
2. 深度學習演算法開發.

【 年薪14個月以上，連續二年調薪5%!! 】","1. Expertise in design and deployment of deep neural networks/CNN.2. Expertise in computer vision fields such as supervised / unsupervised learning, reinforcement learning, network reduction, GAN, Capsule NET, etc.3. Expertise in C++/.net /Python Programming and deep learning frameworks such as Caffe and TensorFlow.", C C# C++ C++.Net,光電產業,0.0
工研院服科中心_深度學習開發工程師(H200),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,運用AI/深度學習，開發穿戴裝置生理訊號相關演算法,"1.資訊、電機、電子、生醫工程相關2.具備機器學習或深度學習研究背景，熟悉 CNN, RNN, TensorFlow framework3.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測。",,其他專業／科學及技術業,0.0
工研院資通所_深度學習開發工程師(D502),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. 深度學習演算法研究與設計
2. 推論加速引擎與模擬器開發
3. 應用領域實作
4. 信號處理平台與系統開發",1. 碩士(含)以上，電子/電機/資訊相關2. 熟悉語言C/C++/Python，或具Linux開發與驅動程式撰寫經驗3. 熟悉深度學習技術演算法與實作者尤佳*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。, Linux C C++ Python,其他專業／科學及技術業,0.0
工研院資通所_深度學習開發工程師(X003),工研院 _財團法人工業技術研究院,40000.0,2年以上,"1. Python/C/C++/Java，與深度學習相關之程式設計與開發
2. 深度學習之系統架構設計與開發
3. 深度學習相關資料收集與標記","1. 碩士(含)以上，資工相關系所畢業，具團隊合作精神2. 熟悉以下語言(一項或多項)：C, C++, Java, Python 等程式開發*請檢附相當於TOEIC 650分之英語測驗成績證明(具英語系國家學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。", C C++ Java Python,其他專業／科學及技術業,2.0
工研院資通所_深度學習軟體工程師(D3),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. 影像辨識與追蹤技術開發
2. 嵌入式系統之深度學習技術開發
3. 開發可在嵌入式系統執行之深度學習影像物件即時追蹤演算法
4. 開發支援深度學習晶片軟體 (Compiler，Translator)
5. 開發深度學習演算法","1.碩士(含)以上，電機/資工/資科相關系所畢2.熟悉OpenCV函式庫者最佳3.有嵌入式系統開發經驗者佳4.具有開發軟體工具鏈(Compiler, Translator)等相關經驗者佳5.熟悉 C/C++/Pyton 程式語言*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。", C C++ Python,其他專業／科學及技術業,0.0
工研院資通所_自動駕駛與深度學習軟體工程師(U301),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. 深度學習影像辨識技術 
2. 3D光達物件偵測技術 
3. GPU運算優化技術
4. 即時視覺呈現技術
5. 自動駕駛決策與刺技術
6. 自動駕駛實車整合與場域驗證
7. Software Quality Assurance",1. 碩士(含)以上， 資訊/電機/機械等相關科系2. 熟C/C++程式開發能力。3. 具備深度學習 (DL)、機械學習 (ML)相關背景，熟悉深度學習相關架構 (TensorRT、Tensorflow、cuDNN)， CUDA平行運算優化經驗者尤佳*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。,,其他專業／科學及技術業,0.0
工研院資通所_自動駕駛系統與深度學習技術經理/副理(U302),工研院 _財團法人工業技術研究院,40000.0,2年以上,"1. 帶領技術團隊研發自動駕駛/深度學習技術。
2. 系統整合、專案管理、code review。
3. 研發方向規劃與計畫申請。",1. 碩士(含)以上， 資訊/電機/機械等相關科系。2. 具備2年以上研發團隊管理經驗與code review能力。3. 良好人際溝通協調及跨團隊合作能力。4. 具自動駕駛、深度學習、影像辨識、車輛控制背景者尤佳。  *請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。,,其他專業／科學及技術業,2.0
(RD S/W) Deep - Applied Deep Learning Engineer / 應用深度學習工程師 - J01482,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"Join the creative thinkers at HTC Healthcare. At this innovation center we are looking for brilliant talents to join our team. We help create the exciting future of AI-powered services. Our work is creative, stimulating, and fun. Our atmosphere is open, friendly, and inspiring.

DeepQ: https://Deepq.com 
Our AI Platform: https://ai-platform.deepq.com 


Job description:Assist the researchers in developing the new deep learning (DL) algorithms/models to solve challenging problems. The candidate is required to implement the state-of-the-art DL methods or models for computer vision, medical image analysis, and natural language processing. The candidate is also required to be familiar with one of the following DL frameworks: PyTorch, TensorFlow, MXNet, and CNTK.","Requirements:-Deep learning such as CNN, RNN, and LSTM-Strong coding skillPreferably familiar with:-Unsupervised learning such as VAE and GAN-Reinforcement learning: DQN, REINFORCE, and A3C-One-shot and meta learning-Parallel and GPU programming",,消費性電子產品製造業,0.0
(RD S/W) DeepQ - Deep Learning FAE / 深度學習FAE工程師 - J01484,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"Join the creative thinkers at HTC Healthcare. At this innovation center we are looking for brilliant talents to join our team. We help create the exciting future of AI-powered services. Our work is creative, stimulating, and fun. Our atmosphere is open, friendly, and inspiring.

DeepQ: https://Deepq.com 
Our AI Platform: https://ai-platform.deepq.com 


Responsibilities
•Support the technical pre-sales function of DeepQ AI platform
•Work with researcher and engineer teams to provide technical training to customers
•Help customers resolve technical issues and problems of DeepQ AI platform
•Support special projects or customized cases to provide solutions to key customers",Qualifications•	Experience with deep learning applications•	Experience with hardware or web-service development •	Previous experience in FAE is a plus,,消費性電子產品製造業,0.0
(RD S/W) Deep Learning / Computer Vision Engineer 深度學習與電腦視覺工程師-J01477,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,2年以上,"1. Employ deep learning and computer vision technology to solve challenging problems in the of field of VR, AR, Smartphone and IoT.
2. Closely follow state-of-art deep learning and computer vision research, formalize the problem with proper scope, and develop new model/algorithm for the core techniques of aforementioned fields.
3. Major focus technologies: object localization, instance segmentation, image super resolution, action/gesture recognition, image matching/alignment","1. Familiar with deep learning such as CNN, R-CNN, Alexnet, VGG, GoogleNet, ResNet.2. Familiar with conventional computer vision such as SIFT, HOG.3. Familiar with Python, TensorFlow.4. Good skills in paper reading and presentation.5. Passionate and confident.",,消費性電子產品製造業,2.0
工研院機械所-影像深度學習感知工程師(D300),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"*工作內容*
透過深度學習技術，發展影像辨識技術應用於ADAS及自駕車，其工作內容包括:
1.基於影像之物件(障礙物)偵測/辨識演算法設計與開發。
2.深度學習模型(CNN)訓練、開發與設計。",NA,,其他專業／科學及技術業,0.0
工研院服科中心_醫學影像深度學習研究員(H100),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,融合生理檢測資料處理，在tensorflow或caffe平台開發醫學影像深度學習演算法,1.醫工、電機與資工相關系所2.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測。,,其他專業／科學及技術業,0.0
工研院服科中心_資料深度學習分析工程師(H200),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"運用AI/深度學習及統計分析,開發健康風險及行為預測模型。",科系:資訊工程相關 其他數學及電算機科學相關 電機電子工程相關1.碩士以上，資訊及統計工程相關 2.熟悉健保資料庫統計分析與建模3.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測。。,,其他專業／科學及技術業,0.0
工研院服科中心_軟體/深度學習開發工程師(H300),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,雲端架構、AI/深度學習，開發樂齡與共享資訊融合相關演算法及軟硬整合系統。,科系:資訊工程相關 數學及電算機科學與管理學科類。1.碩士以上(含)，資訊、統計工程與管理相關 2.具備機器學習或深度學習研究背景或有意願，熟悉或願意投入數據分析與深入學習相關技術者3.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測。,,其他專業／科學及技術業,0.0
(RD S/W) DeepQ - Deep Learning Research Engineer / 深度學習研究工程師 - J01481,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"Join the creative thinkers at HTC Research & Healthcare. 
At this innovation center we are looking for brilliant talents to join our team. We help create the exciting future of AI-powered services. Our work is creative, stimulating, and fun. 
Our atmosphere is open, friendly, and inspiring.
  
DeepQ: https://Deepq.com 
Our AI Platform: https://ai-platform.deepq.com 


Job description:Employ deep learning, reinforcement learning, and unsupervised learning to solve challenging problems in the field of healthcare, IoT, virtual reality, and augmented reality. 
As part of a research team, the candidate is required to formalize the problems, design new models and devise novel algorithms for the core techniques of aforementioned fields.","The candidate is desirable to be familiar with one of the following methods:- Reinforcement learning: DQN, REINFORCE, and A3C- Bandit algorithms such as UCB and Thompson sampling- Monte-Carlo tree search such as UCT- Online learning",,消費性電子產品製造業,0.0
研發替代役-工研院資通所_深度學習系統架構工程師(X2),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1.深度學習計算框架優化技術研發
2.深度學習演算法研發",1.碩士(含)以上，資工/資訊/電機/電子等相關科系畢業，具程式開發背景能力2.熟Python/Java/C/C++/其中一種語言以上3.具deep Learning framework (Tensorflow優先)、Parallel Computing、GPU Computing、CUDA與OpenCL 相關背景4.對深度學習程式開發具熱忱者佳*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或外國正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測, C C++ Java Python,其他專業／科學及技術業,0.0
工研院資通所_深度學習應用軟體研發工程師(E2),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"研發影像辨識為主之深度學習技術。
研發深度學習演算法/模型以滿足目前挑戰：如人臉辨識。包括
1.DNN應用需求分析 
2.DNN系統架構規劃、實作、巨量影像資料分析及驗證、系統測試、除錯 
3.DNN solution專案管理。","1. 熟悉Python、shell script等腳本語言。2. 熟悉Linux平台與相關工具。3. 熟悉至少一種深度學習framework: PyTorch, TensorFlow具備深度學習各網路架構、影像處理、資料分析及確認、Open Source/Tool經驗者尤佳。具備JavaScript網頁語言，以及Android/iOS各類應用平台程式語言與開發工具等尤佳。*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測。", Python JavaScript,其他專業／科學及技術業,0.0
工研院資通所_人工智慧深度學習軟體工程師(F013),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. DNN程式設計與開發
2. DNN系統架構設計與實作
3. AI機器學習資料處理","1. With Computer Science or related background2. One or more Programing languages (such as: Python, C, C++, PHP, Javascript, …)3. Experience with DNN platform is a plus.*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或國外正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測", C C++ Python JavaScript,其他專業／科學及技術業,0.0
IS11 深度學習演算法開發工程師/資深工程師/Team Leader (Smart Home),中磊電子股份有限公司,40000.0,經歷不拘,"Research and develop video analysis algorithm for IP Camera product line
-Study and research video analysis algorithm
-Plan video analysis algorithm for product feature roadmap
-Customer communication on technical demand and product development
-Deliver efficient video analysis functions that product and production tool need","智慧影像辨識相關經驗智慧影像分析經驗具備機器學習, CNN, 深度學習相關經驗具備 Caffe or Tensorflow or Pytorch 相關經驗 is a plus  具備數位訊號處理(DSP)經驗 is a plus",,其他電信及通訊相關業,0.0
(RD S/W) Vive - Software Engineer (電腦視覺追蹤定位/深度學習) - J01209,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"我們是HTC Vive 中專注於電腦視覺與深度學習的一個研究團隊，目前團隊主要研究方向有 SLAM 的定位追蹤、遙控器的定位追蹤、手部的追蹤、環境理解與姿態理解。除了這幾個大方向外，我們也有多位獨立研究人員，分別負責一些前瞻性的研究。

我們日常作息就跟一般研究室相似，多數時間都是用於論文研讀，實驗，跟演算法創新。使用的語言以 C++ 跟 Python 為主，使用的環境都是Ubuntu Linux，產品演算法都是移植於向量型硬體加速器上，如 Neon, OpenCL, HVX 或 CEVA。內部的管理使用 scrum 模型，採低度管理，所有工程人員不管職稱都是平行的。

工作內容: 
	VR頭盔，AR 眼鏡的電腦視覺追蹤定位
	遙控器的的電腦視覺追蹤定位
	手勢偵測，與手的追蹤
	演算法的硬體平台移植與優化",NA,,消費性電子產品製造業,0.0
[2019研發替代役] DeepQ - Deep Learning Research Engineer/ 深度學習研發工程師 -J01167,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"Join the creative thinkers at HTC Healthcare. At this innovation center we are looking for brilliant talents to join our team. We help create the exciting future of AI-powered services. Our work is creative, stimulating, and fun. Our atmosphere is open, friendly, and inspiring.

Job description:
Employ deep learning, reinforcement learning, and unsupervised learning to solve challenging problems in the field of healthcare, IoT, virtual reality (VR), and augmented reality (AR). As part of a research team, the candidate is required to formalize the problems, design new models and devise novel algorithms for the core techniques of aforementioned fields.

Requirement :
-Familiar with deep learning such as CNN, RNN, and LSTM
-Familiar with reinforcement learning such as DQN, REINFORCE, and A3C
-Familiar with unsupervised learning such as VAE and GAN
-Familiar with one-shot and meta learning
-Good skills in paper reading and presentation would be appreciated
-Passionate and confident",未填寫,,消費性電子產品製造業,0.0
工研院機械所-影像深度學習感知工程師(D300)(83年次(含)後可申請預聘),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"*工作內容*
透過深度學習技術，發展影像辨識技術應用於ADAS及自駕車，其工作內容包括:
1.基於影像之物件(障礙物)偵測/辨識演算法設計與開發。
2.深度學習模型(CNN)訓練、開發與設計。

*****
83年次(含)後-您可以申請預聘(服完替代役或軍事訓練後)報到","1.碩士(含)以上，電機、電控、資訊等相關系所畢。2.主修或修習過影像處理、電腦視覺、機器學習、模型辨識者尤佳。3.具深度學習相關框架(Caffe, Torch, TensorFlow, Theano)之使用經驗者尤佳。4.需熟悉程式語言:C/C++/Python/Matlab。5.具影像深度學習等相關實務(作)者尤佳。6.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測。", C C++ Matlab Python,其他專業／科學及技術業,0.0
RRS180920-人工智慧深度學習工程師(專案研究員/資深/工程師)(台北),緯創資通股份有限公司,30000.0,1年以上," 1. Propose statistical machine learning or other data-driven methods to solve business problems
2. Develop and implement AI/Deep Learning algorithm for computer vision
3. Apply AI/Deep learning model on 人臉/物件影像識別、智慧醫療、智慧製造(智慧檢測)、數據分析應用之AI(Computer Vision) application
","1. familiar with C++ or Python2. familiar with machine learning framework (ex: tensorflow, torch)3. Solid understanding of machine learning / deep learning / image processing concepts 4. Familiar with Linux and open source environment. 5. Familiar with parallel computing like CUDA or OpenCL is a plus 6. 具以下專業知識與應用相關經驗(一項或多項)者佳：      -人臉影像識別、智慧醫療、智慧製造(智慧檢測)、數據分析應用…之相關領域之專案管理實務經驗      -人工智慧(機器學習/數據分析/…)技術與應用的相關知識與能力      -開源/商用機器學習與深度學習分析工具使用及實務經驗", C C++ Python,電腦及其週邊設備製造業,1.0
全時約聘_工研院巨資中心_深度學習瑕疵檢測工程師(科技部RAISE計畫),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1.學習並熟悉深度學習基礎理論
2.深度學習技術整合於AOI檢測設備中
3.協助導入PCB產線終檢站",1.專長：深度學習、影像處理或機器學習、C++或C#程式語言2.科系：資工、電子電機、機械、應數、統計等理工科系的博士3.對AOI檢測設備有熱忱、有興趣佳4.此為RAISE計畫(https://www.raise.org.tw/)人員需求(培訓期間一年)，巨資中心與聯策科技合作，接受培育者將依需要部分時間派駐於聯策科技(桃園)。, C# C++,其他專業／科學及技術業,0.0
研發替代役-工研院資通所_車聯網系統與AI深度學習研發工程師(U2),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. 車聯網應用與系統研發
2. 智慧路側系統研發
3. AI深度學習安全警示技術
4. 自動駕駛與車聯網系統整合
5. 自動駕駛與車聯網場域驗證",1.碩士(含)以上，資訊/電機/控制/通訊 相關畢2.具C/C++/JAVA  開發經驗3. 具備深度學習、機械學習 相關背景，熟悉深度學習相關架構 (Tensorflow、Pytorch、Caffe)4.熟影像處理或視訊處理，包含視訊物件追蹤，影像辨識者佳5.具新產品研發規劃經驗者優先錄取*請檢附相當於TOEIC 650分之英語測驗成績證明(具外國學歷或外國正式工作經歷者可免)，如無法提供，將安排參加本院英文檢測, C C++ Java,其他專業／科學及技術業,0.0
研發替代役-工研院資通所_自動駕駛與AI深度學習研發工程師(U3),工研院 _財團法人工業技術研究院,40000.0,經歷不拘,"1. AI深度學習影像辨識技術 
2. 三維光達感測技術 
3. NVidia GPU加速演算技術
4. 自動駕駛控制與決策技術
5. 自動駕駛實車整合與驗證",NA,,其他專業／科學及技術業,0.0
(RD S/W) DeepQ - Deep Learning and Cloud Service Engineer / 深度學習與雲端技術工程師 - J01478,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"Join the creative thinkers at HTC Healthcare. At this innovation center we are looking for brilliant talents to join our team. We help create the exciting future of AI-powered services. Our work is creative, stimulating, and fun. Our atmosphere is open, friendly, and inspiring.

DeepQ: https://Deepq.com 
Our AI Platform: https://ai-platform.deepq.com 


Responsibilities
•	Participate in the development of DeepQ AI platform
•	Improve the performance of deep learning model training","Qualifications•	BS or MS degree in Computer Science, Machine Learning, or related technical field.•	Experience with one or more general purpose programming languages including but not limited to: Go, Python, JavaScript.•	Experience with backend development and operation•	Experience in AWS/GCP/Azure is a plus•	Understanding GPU programming model is a plus",,消費性電子產品製造業,0.0
[2019研發替代役] DeepQ - Deep Learning and Cloud Service Engineer / 深度學習與雲端技術工程師 -J01165,宏達電 HTC Corporation_宏達國際電子股份有限公司,40000.0,經歷不拘,"Join the creative thinkers at HTC Healthcare. At this innovation center we are looking for brilliant talents to join our team. We help create the exciting future of AI-powered services. Our work is creative, stimulating, and fun. Our atmosphere is open, friendly, and inspiring.

Job description:
1. Scalable deep learning architecture design (深度學習架構設計)
2. Scalable cloud computing service development (雲端計算服務開發)
3. High performance deep learning framework implementation (高效能深度學習系統實作)
4. Existing deep learning framework adoption for production environments (深度學習系統產品導入)
5. Orchestrating deep learning process with GPU utilization (GPU 與深度學習整合)
6. Optimization of Disk and Network IO among data and learning servers (雲端系統磁碟與網路 IO 最佳化)
7. Machine learning for embedded system (嵌入式機器學習系統)

Location: Taipei",未填寫,,消費性電子產品製造業,0.0
RRS180221-人工智慧深度學習工程師(專案研究員/資深/工程師)(高雄),緯創資通股份有限公司,30000.0,1年以上,"1.Propose statistical machine learning or other data-driven methods to solve business problems
2.Develop and implement AI/Deep Learning algorithm for computer vision or nature language processing
3.Apply AI/Deep learning model on computer vision/robot/chatbot application
","1. Familiar with C/C++ or Python2. Familiar with Linux and open source environment.3. Solid understanding of machine learning concepts4. Familiar with image processing (ex: OpenCV) 5. Familiar with machine learning framework (ex: Tensorflow, TensorRT)6. Familiar with deep learning algorithm and model (ex: CNN, RNN)7. Familiar with parallel computing like CUDA or OpenCL is a plus8. System integration, Architecture design", C C++ Python,電腦及其週邊設備製造業,1.0
人工智慧工程師,玉山銀行_玉山商業銀行股份有限公司,40000.0,3年以上,"1.利用資料分析及機器學習進行玉山金控內部/外部情勢評估及問題發現 
2.協助業務單位利用資料分析或機器學習解決關鍵科技議題，並提供決策建議。
3.工作經驗3年已上，具備深度學習模型建構與 Kaggle 實戰經驗。
4.具備高度量化訓練的背景，如數學、統計、應數、財金或財務工程、物理、資訊或電機工程尤佳。",未填寫,,銀行業,3.0
人工智慧科學家,沐恩生醫光電股份有限公司,40000.0,2年以上,"1. 醫療影像識別, 如X光, CT, MRI, 眼底攝影等 
2. 生醫訊號識別, 如ECG等
3. 生物資訊相關研究, 如基因, mRNA, 蛋白質等",1. 熟Python、機率、線代2. 熟數位影像或訊號處理課程3. 熟Deep Learning4. 主動、積極、需要有自我學習能力5. 需有閱讀英文論文之基本能力6. 有Kaggle或其他人工智慧、資料科學競賽經驗7. Kaggle影像/生醫訊號/文本/基因等相關正式競賽Top 30%以上尤佳, Python,其他醫療保健服務業,2.0
人工智慧工程師,艾維克科技股份有限公司,40000.0,3年以上,"1.建立AI 開發環境。 
2.針對數據, 影像等資料建立分析模型。 
3.研究與開發機器學習演算法，包含深度學習模型研究、軟體開發、模擬與分析。 ",1.計算機，電子工程，自動化方向相關學歷，有機器學習或深度學習研究背景。 2.熟悉Linux環境下的Java和Python編程，有很強的算法實現能力。 3.三年以上相關工作經驗。,,電腦及其週邊設備製造業,3.0
RD20358 人工智慧軟體工程師,華碩電腦股份有限公司,30000.0,經歷不拘,"1. 處理數據進行分析、清整等資料科學相關技術，了解資料並推論，幫助模型設計。
2. 識別並選擇正確的AI/ML技術來解決問題並開發AI模型，進行建模、預測、分類、驗證等任務。
3. 佈署及整合AI模型至後台，提供前端使用者界面(網站或APP)以供操作。
4. 與公司其它相關單位合作，有效利用企業內部數據於AI應用。
5. 積極參與培訓課程、主動學習新知及研究頂尖論文。",必需條件：1.          專精於程式概念，能快速學習新的程式語言並進行實作2.          Python語言開發的工作經驗或課程學習的實作經驗 1年以上 3.          開發AI演算法模型的工作經驗或課程學習的實作經驗 1年以上其他條件：1. 對AI具有熱情與研究精神，熟 Deep Learning 等 AI/ML 相關知識2. 熟悉 Python 及至少一種 AI/ML Framework，例:Keras3. 實際薪資會依學經歷背景及相關工作經驗核薪, Linux Java Python,電腦及其週邊設備製造業,0.0
人工智慧應用工程師,明安國際企業股份有限公司,40000.0,3年以上,"1. 研發集團人工智慧應用與服務
2. 整合集團資訊系統
",1. 應用 AI  Deep Learning 或 Machine Learning 開發經驗2. 具深度學習模型建立、訓練及應用實務經驗3. 熟悉C/C++及Python4. 善於溝通並能獨立解決問題 持有經濟部能力鑑定(iPAS)證書者優先面試! ISE, Linux C++ Python,育樂用品製造業,3.0
AI人工智慧研發工程師,均豪精密工業股份有限公司,40000.0,2年以上,"
1.機器視覺相關之人工智慧、機器學習、深度學習演算法開發
2.Machine vision related machine learning and deep learning algorithm development
","1)碩士(含)以上電腦科學、資訊工程、電機電子等相關科系畢2)對人工智慧、機器學習、深度學習有高度興趣並且有實作經驗者3)對Tensorflow或Caffe framework有經驗者4)熟悉C/C++/C#, Python等程式語言尤佳", C C++ Python,光電產業,2.0
人工智慧工程師 AI Developer,ViewSonic Corporation_優派國際股份有限公司,40000.0,經歷不拘,"1.設計並實作機器學習或深度學習相關之演算法達到機器視覺的功能
2.開發影像分析應用軟體

For more information with our company, please visit https://youtu.be/D16GfQmaX_k","1.Experience in deep neural networks like CNN, RCNN.2.Experience in deep learning methodology - unsupervised learning, reinforcement learning.3.Familiar with C/C++/ Python/ OpenCV Programming.4.Familiar with one of ML frameworks like Caffe, TensorFlow, Torch.",,電腦及其週邊設備製造業,0.0
AI人工智慧工程師,仕實設計企業有限公司,40000.0,經歷不拘,"1.負責開發人機互動系統，特別在於人像識別，語義理解，語言音調辨識，智能對話上。
2.著重於物聯網基礎上，開發AI智能演算法。",未填寫,,電子通訊／電腦週邊零售業,0.0
AI人工智慧軟體工程師,群控系統有限公司,28000.0,經歷不拘,"1.大數據分析 
2.AI演算法開發設計運用 
3.機器學習應用 
4.資料庫與雲端分散應用",1. 需刻苦耐勞、有上進心與責任感 2. 願接受培訓, C++ Python R MySQL PL/SQL HTML JavaScript jQuery,自動控制相關業,0.0
人工智慧研發工程師,薩摩亞商長耘智管有限公司,40000.0,3年以上,"主要參與畜牧農業之大數據與人工智慧應用之研發, 
-	研發畜牧智能化應用.
-	農場RFID、環控及生產繁殖大數據應用研發．
-	農場影像識別及智能平台發展與應用．
","-	作業系統與資料庫:	熟Linux、Windows Server, Hadoop	熟MS-Sql, NoSql Db.-	技術能力:	熟機器學習、深度學習，並具相關之研究與實作經驗者佳．	有大數據分析、影像識別及機器人經驗者佳．	熟Ｃ、C++、C#及Python等．", Linux ASP.NET C C# C++ Python R MS SQL,電腦系統整合服務業,3.0
AI 人工智慧軟體工程師,銓發科技股份有限公司,40000.0,經歷不拘,"1. 程式開發撰寫使用Python
2. tensorFlow or Caffe 熟悉
3. 配合度高",未填寫, Python R 軟體程式設計,精密儀器相關製造業,0.0
