職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
資料科學家,昱峰智能大數據科技股份有限公司,30000.0,經歷不拘,"1. 進行演算法的設計、分析及模擬。
2. 利用演算法，解決各領域的問題
PS.歡迎誠信負責主動積極有挑戰精神為首選
(Python/spark/Djiango/Mongo/MySQL)",具半導體經驗了解半導體製程有處理過良率改善經驗, Java Matlab Python R ANSI SQL MS SQL,電腦軟體服務業,0
資料科學家,烏龜移動科技股份有限公司,40000.0,經歷不拘,"蝙蝠移動的核心服務是提供客戶專屬的私有化 DMP（Data Management Platform 數據分析管理平台）。和每個客戶一起建立真正屬於自己產業 domain-knowledge 的數據分析管理平台，從技術和商業策略兩個面向完整的走完這個 Data Journey~

蝙蝠移動公司官網：
http://www.batmobile.com.tw

媒體報導：
1. https://www.inside.com.tw/2017/03/15/dmp
2. http://www.brain.com.tw/news/articlecontent?ID=44515&sort
3. http://www.brain.com.tw/news/articlecontent?ID=23162&sort=

1. 數據分析、挖掘、建模、模式評估等相關工作，並進行模型評估 
2. 資料視覺化設計
3. 熟悉預測方法、發展推薦演算法、個人化演算法
4. 爬蟲程式開發，並進行文字探勘","加分條件 - 熟悉 NLP, Deep Learning- 具Spark 及 GPU 運算優化經驗尤佳- DMP 操作經驗",,廣告行銷公關業,0
資料科學家,諦諾科技股份有限公司,40000.0,5年以上,"職務內容：
●規劃資料萃取、資料清理與理解、資料探勘、模型建置、場景發想與運用。
●數據分析、挖掘、資料視覺化設計規劃。
●將商業問題轉化為可分析的條件以及狀態，熟悉統計和預測方法。
●針對異常數據提出觀點和監控方法，蒐集外部競爭資訊、歸納、建議。
●主動提出觀點與提案，提供資料解析以作為決策應用依據。

條件要求：
●熟悉Python、SQL等工具。
●具備資料探勘等進階數據分析、預測的專業知識。
●優秀的溝通與人際交往能力。
●優秀的跨部門團隊工作能力。
●謹慎、細心且有耐心。


",未填寫,,其它軟體及網路相關業,5
F-資料科學家,中國人壽保險股份有限公司(總公司),35000.0,經歷不拘,"1.規劃資料萃取、資料清理與理解、資料探勘、模型建置、場景發想與運用
2.跨部門分析專案、BI優化專案
3.金融科技相關計畫
",1.工作經歷2年以上2.具備基本資料結構概念3.已具備R、Python其一工具進行資料探勘之能力4.具備基礎統計觀念5.對ML、DL、AI實作與運用有高度興趣和研究意願6.科系不拘 加分條件 :1.熟悉SQL、R、SAS、Python、Tableau等分析工具(一項或多項)。2.具備資料探勘、機器學習等數據分析專業知識 3.具備ML、DL、AI應用經驗4.具良好溝通協調能力、邏輯能力佳5.有保險資料探勘、數據分析經驗為佳,,人身保險業,0
Data Scientist 資料科學家,新加坡商鈦坦科技股份有限公司台灣分公司,40000.0,5年以上,"●	Work with product owners to identify opportunities for leveraging company data to drive business solutions.
●	Data mining and analyzing from company databases to optimize and improve product development, marketing techniques and business strategies.
●	Assess the effectiveness and accuracy of new data sources and data gathering techniques.
●	Develop data models and algorithms to apply to data sets.
●	Use predictive modeling to optimize customer experiences, ad targeting and other business outcomes.
●	A/B testing and test model’s quality.
●	Coordinate with different functional teams to implement models.
●	Develop processes and tools to monitor and analyze model performance and data accuracy.
","	5 years +  experiences in manipulating data sets and building statistical models, or has Master’s or PHD degree in Statistics, Mathematics, Computer Science or another quantitative field.	Strong problem solving skills.	Excellent written and verbal communication skills for coordinating across teams.	Willing to learn new technologies and techniques.	Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their advantages/drawbacks.	Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.)	Experienced in querying databases and using statistical computer languages: R, Python, SQL, etc.	Experienced in at least one tool of analyzing data from 3rd parties: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.  --Plus-- 	Coding knowledge and experienced with several languages: C#, .Net, JavaScript, etc.	Experienced in creating and working with data architectures.	Experienced in visualizing/presenting data, e.g. D3, ggplote, etc. 	Experienced in using distributed data/computing tools, e.g. Map/Reduce, Hadoop, Hive, Spark, etc.",,電腦軟體服務業,5
資料科學工程師,新視域科技股份有限公司,40000.0,經歷不拘,"我們是一個不像新創的新創公司，平均年資在10年以上，有著不想與別人一樣的理想與開創的熱情，所以我們選擇走了一條很不一樣的路，結合了視覺與科技，利用了數據與互動協助複雜的管理。我們愛好自由與開放的環境與言論，接受多元文化的激盪思考，我們具有各種不同領域的客戶群與場域，在專案及資料歷練經驗上， 能讓公司的每一份子都參與其中，並在各種資料應用領域發展與進行領先型試驗。如果你也是這一類人或有興趣加入我們的行列，請參考以下的說明 :
基本條件
1.	提供決策的數據與建議及數據整理、分析及圖表化
2.	支援營運/行銷之資料分析應用
3.	對大數據資料處理及分析或人工智慧有高度興趣者
4.	熟悉資料處理相關語言如Python、R、SQL、Java 等
5.	熟悉關聯性資料庫架構及分散式 Hadoop/Spark 平台
6.	懂得使用統計模型/機器學習/深度學習(Deep Learning) 
7.	懂得利用統計方法/機器學習/深度學習的創新/推導/應用/實證
8.	開發 分析工具/套件 提升各產業的自動化智慧分析能力
9.	能協助設計針對不同產業的預測架構及分析模型
10.	可將產線工程問題轉為可分析的數學/統計模型
11.	協助定義專案的可能範圍/分析方法/演算法
12.	與前/後端工程師溝通協調工作內容
加分項目
1.	具備 UI/UX 相關知識與經驗 
2.	注重細節及使用流程，具備使用者導向的設計思維 
3.	喜歡統計方法/機器學習/深度學習創新推導並使用程式語言實現者佳
4.	具TensorFlow / Keras 開發經驗者優先考慮
5.	實作過CNN/RNN者佳
6.	具備 統計建模/ 資料探勘/ 機器學習/ 深度學習 經驗 
7.	若有數據分析/人工智慧相關作品請附於履歷上 
8.	善溝通/團隊合作/喜歡分享知識/具工作熱誠者佳 
9.	對資料科學具好奇心者, 喜歡閱讀最新論文, 閱讀論文有時也是工作內容之一
公司福利
1.	獎金福利：年終獎金
2.	休假福利：週休二日
3.	保險福利：勞保、健保、勞退提撥金
4.	補助福利：員工在職教育訓練
",未填寫, Python 系統架構規劃 系統整合分析 軟體工程系統開發,數位內容產業,0
資料科學工程師,昱冠資訊股份有限公司,26000.0,經歷不拘,"昱冠資訊使用資料科學方法, 包含統計建模 (Statistical Model)/機器學習 (Machine Learning)/深度學習 (Deep Learning), 實現人工智慧系統:
--應用產業包含:半導體/製造/傳產/建築/醫療...等產業, 但不限於這些產業。
--應用範疇包含:智慧工廠/智慧製造/智慧校園/智慧家庭/智慧醫療/智慧安全監控...等。
--主要產品線包含:安全監控ISS/各種儀器之維修預測PMQ/產品外觀檢驗DIS/智慧醫療。

本職缺非常適合擅長 數理統計/機率推算/統計建模/機器學習/深度學習 的人才.  有志於將實際問題使用資料科學方法解決的人才, 歡迎投遞本職缺.   

該職缺不只可以讓您學到資料科學的技術, 系統後端串接, 邊緣計算(Edge Computation), 都是您會接觸到的工作內容.  我們的客戶囊括各產業的國際一級客戶, 研發的人工智慧技術絕對是跟著世界趨勢走, 我們是重視讓人工智慧系統落地的公司.

職務內容:
* 使用統計模型/機器學習/深度學習(Deep Learning) 實現智慧製造。
*協助專案POC
* 統計方法/機器學習/深度學習的創新/推導/應用/實證。
* 使用 Python或R 語言實現人工智慧(實現技術包含:統計分析/機器學習/深度學習)。
* 開發 分析工具/套件 提升各產業的自動化智慧分析能力。
* 設計出適合不同產業的預測模型。
* 定義出問題的解決方法步驟。
* 將產線工程問題轉為可分析的數學/統計模型/深度學習模型。
* 協助定義專案的可能範圍/分析方法/演算法。
* 研讀最新的 統計方法/機器學習(含深度學習) 論文，應用於不同產業。
* 與前/後端工程師溝通協調工作內容。

昱冠資訊可以提供給您各種不同領域的資料歷練經驗, 能讓你在各種資料應用領域一展長才.

本職缺工作內容會根據您的能力,如: 
*R/Python撰寫能力,
*前/後端經驗,
*Linux操作熟悉度,
*統計/數學模型應用與創新能力

給予適當的工作安排, 歡迎想在人工智慧一展長才的您投遞履歷

若您對資料科學(含人工智慧)非常有興趣, 但想從基礎做起, 或是你目前的專長是資訊系統相關人才, 懇請考慮本公司關於系統開發的另一職缺「資料科學前端/後端工程師」

必要條件:
1.滿足其中一個專長:  統計建模/機器學習/深度學習
2.具Python基礎能力
3.具程式設計經驗, 不是只有套套件完成任務.","- 歡迎 統計/數學/資工/電機背景的求職者 -熟悉R與Python實現資料分析者 - 能操作Linux系統者 - 熟悉 R or Python /使用前述軟體操作過資料庫者佳 - 喜歡統計方法/機器學習/深度學習創新推導並使用程式語言實現者佳  - 具TensorFlow / Keras 開發經驗者優先考慮 - 實作過CNN/RNN者佳 - 具備 統計建模/ 資料探勘/ 機器學習/ 深度學習 經驗 - 若有數據分析/人工智慧相關作品請附於履歷上 - 善溝通/團隊合作/喜歡分享知識/具工作熱誠者佳 - 對資料科學具好奇心者, 喜歡閱讀最新論文, 閱讀論文有時也是工作內容之一   閱讀最新文獻可能佔用您的工作時間超過50%,    但是我們講求的是實用性,. 昱冠資訊力求讓資料科學技術落地. -有時有機會可以到大陸短期出差, 看看外面的世界也是福利之一 - 歡迎社會新鮮人", Linux Python R MS SQL Oracle JavaScript Excel PowerPoint Word 統計軟體操作 調查樣本統計分析 軟體程式設計 資料庫軟體應用 文書處理軟體操作 簡報軟體操作,電腦軟體服務業,0
資料科學工程師,玉山銀行_玉山商業銀行股份有限公司,34000.0,經歷不拘,"歡迎大學、研究所數理資訊相關系所畢業。有志從事：
*對大數據資料處理及分析或人工智慧有高度興趣者
*熟悉資料處理相關語言如Python、R、SQL、Java 等
*熟悉關聯性資料庫架構及分散式 Hadoop/Spark 平台者佳",對大數據資料處理及分析或人工智慧有高度興趣，熟悉Python、R、SQL、Java等語言。,,銀行業,0
資料科學顧問,勤業眾信聯合會計師事務所,40000.0,經歷不拘,"1. 提供企業各類資料分析需求解決方案，包含分析方法規劃、建模、預測分析、視覺化分析等應用
2. 協助企業進行各項營運、流程、系統資料分析，提供企業營運及風險改善建議
2. 瞭解企業商業模式(Business Model)及行銷策略，透過資料科學方法提出策略決策建議",學歷要求：大學、碩士科系要求：資訊、財務管理、統計、應用數學、工業工程相關科系所擅常工具：Excel 、PowerPoint 、R或Python管理責任：非管理職，無需負擔管理責任 其他條件：1. 熟悉基本資料庫操作語法(T-SQL、E-SQL等)。2. 熟悉統計建模軟體(SPSS、SAS)、R或其他資料分析程式語言等。3. 具備機器學習及統計模型判讀能力。4. 對特定產業(如製造、高科技、消費性產品、金融、電信業等)有深入瞭解。5. 開放、積極學習的態度與團隊合作的精神。6. 認真負責、有熱誠、抗壓性、具良好中英文表達及溝通能力，執行力強、具強烈企圖心。7. 可配合不定期出差。, Python Excel PowerPoint,會計服務業,0
資料科學家(Data Scientist),高博思股份有限公司,40000.0,1年以上,"我們現階段運用AI人工智能，依據大數據自動製作出吸引眼球的圖像和產生購買慾望的文案。 

未來的一年，我們將改變世界「網路銷售」的方式！ 

一間年輕有活力的公司，重視每一位員工，除了有良好的工作環境，也提供學習及成長的空間，服務客戶多為台灣百大品牌企業；歡迎各位充滿熱忱與前瞻性的朋友加入高博思，與我們一同成長！ 

必要條件： 
熟悉 Linux 操作設定 
熟悉 Java/Python/R 語言任一
熟悉 資料庫/SQL操作(PostgreSQL/MySQL) 
有Big Data分析經驗者(Distributed Systems/Big Data Processing)
熟悉統計學(statistics)，機器學習(machine learning)和深度學習(deep learning)
良好的溝通與團隊合作能力

加分條件：
具備 良好英文讀/寫能力  
個人演算法能力強
有快速學習應用, 獨立思考的能力",未填寫,,網際網路相關業,1
Data Scientist / 資料科學家,集邦科技股份有限公司_TRENDFORCE,40000.0,經歷不拘,"Job Description
We are looking for Machine Learning experts that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus is to apply most advanced ML techniques to build high quality prediction systems integrated with our products. 

Responsibilities
●Define ML-solvable problems from financial/industrial domains

●Implement and apply ML models/tools to solve the problems and generate high quality predictions

Skills and Qualifications
1.1+ year of Machine Learning project experience
2.Machine Learning Models: SVM, Random Forest, MLP, RNN, LSTM, CNN, and etc
3.Machine Learning Tools: Scikit-learn, Keras, TensorFlow, and etc 
4.Good applied statistics skills, such as distributions, statistical testing, regression, etc.
5.Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, 
6.Experience with data visualisation tools, such as Matplotlib, D3.js, GGplot, and etc.
7.Good scripting and programming skills such as Python, R, etc.
8.Quick learner in rapidly developing areas
9.Passion and obsession in Machine Learning",未填寫, Matlab Python,網際網路相關業,0
Data Scientist(資料科學家),李長榮化學工業股份有限公司,40000.0,2年以上,"-Insight into company/plant operating and maintenance data, and apply with Data mining, machine learning, NLP…etc. for prediction,  classification, optimization…etc. 
-Work on structured, semi-structured and unstructured data to discover data insights and collaborate with domain expert to deliver business value through these insights.
-Build predictive models with data, test models on results and verify the model in real-world settings (e.g. Equipment Failure Analysis, Forecasting…etc.)
-Business process standardization, big data analysis and reporting dashboard and develop best practices for instrumentation and experimentation and communicate those requirements to relevant units.","-Bachelor degree or higher, major in Computer Science, Statistics, Mathematics.-At Least 2 year experience in Data Mining, Machine Learning, Information Retrieval, Natural Language Processing or related knowledge.   -Proficiency with data analysis languages: R, Python, Java or Scala.-Experience in parallel, distributed and cloud computing and data processing.-Comfortable with data analysis & visualization using analytic tools with the capability of creating, planning, and analyzing.-Experience in at least one MVC web designing, implementing and maintaining applications is a plus-Good English Language Capability.",,化學原料製造業,2
資料科學技術工程師,三趨科技股份有限公司,40000.0,經歷不拘,"1.研發巨量資料分析、資料分析統計、機器學習、統計分析、資料視覺化呈現相關技術
2.校務及智慧學習、運動休閒社群網路、智慧商務、智慧製造、智慧健康照護等相關應用之巨量資料分析與智慧化加值應用技術產品開發","1. 資工/資科/資管/應數/電機/統計等相關科系所畢業，具學習及團隊合作精神2. 具以下專業知識(一項或多項)：(1)資料探勘、文字探勘、自然語言、機器學習、深度學習或人工智慧相關技術應用，(2)智慧影像資料分析相關應用，(3)智慧商務資校分析相關應用，(4)健康資料分析相關應用，(5)開放源碼或商用巨量資料應用分析工具實務使用經驗 3. 熟悉以下語言(一項或多項)：C, C++, C#, Java, Python, R, Web等程式開發。具Semantic Web(Linked Data)、資料庫、資料倉儲實務經驗尤佳4. 具備校務及智慧學習、運動休閒社群網路、智慧商務、智慧製造、智慧健康照護等相關應用領域之資料分析實務經驗尤佳",,網際網路相關業,0
資料科學家(台中廠),友達光電股份有限公司,40000.0,2年以上,"1.Machine Learning & Deep Learning新技術研究與應用
2.運用Machine Learning技術改善工廠生產
3.撰寫Machine Learning演算法
4.應用系統化規劃
5.演算法設計、開發與驗證","1.具備Machine Learning以及Deep Learning framework, 具AI需求分析與應用開發經驗 2.具備程式開發經驗3.接觸過半導體、光電產業者佳4.熟悉Linux系統, 具C/C++/Java/Python程式語言設計經驗5.具資料處理與分析經驗者", Java Python,光學器材製造業,2
Data Scientist (資料科學家),思納捷科技股份有限公司,40000.0,1年以上,應用程式與演算法開發、分析問題定義與解決方案設計規劃,1.需具備數理工程領域碩士或博士學位，必具一年以上資料分析實務經驗。2.需熟悉Python、Machine learning algorithms。3.能配合敏捷軟體開發相關原則、樣式與實務，如測試撰寫與持續交付。喜愛跨領域對話、協調與合作。,,電腦軟體服務業,1
研發類-資料科學家(AIRD),中強光電股份有限公司,40000.0,經歷不拘,"1.資料標記
2.數據建模
3.深度學習演算法開發
4.撰寫研究報告",未填寫, Python,光電產業,0
資料科學家_數據分析師,伊雲谷數位科技股份有限公司,40000.0,經歷不拘,"【職務說明】
面對真實世界的複雜問題，運用資料科學與數據分析專業，協助客戶掌握有價值的資料並獲得洞見，
本職務將接觸到廣泛的產業領域，包含金融業、科技業、製造業、政府機關、法人機構、上市櫃公司...等大型企業。

職務內容：
1. 與客戶溝通了解客戶需求目的、想解決的問題與希望獲得的商業價值
2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助客戶進行數據處理(清洗、ETL、標籤、特徵提取等)
3. 依據數據處理與分析需求，建構數據模型，視實際情況調整並優化模型與流程
4. 進行各種數據追蹤和分析，針對商業問題提供有用數據、評估與應用在客戶環境中，並持續優化與修正。
5. 將數據結果給予最佳的視覺化建議與呈現
6. 引導客戶學習使用並協助客戶洞察數據，提供有效的決策支援。
本職務需要具有以下技能：
1. 熟悉分類分群、推薦、迴歸預測等演算法理論基礎，並有實作經驗
2. 熟悉程式與分析應用，如 Python, R, SPSS, MATLAB, SAS 等
3. 熟悉大數據生態系(Big Data Ecosystem)，如 Hadoop, Spark, MapReduce, Hive 等
4. 熟悉商業智慧(BI)工具，如 Tableau, QuickView, Qlik, PowerBI, Quicksight 等

",【其他條件】1. 具備2年以上機器學習、人工智慧或類神經網路相關經驗，5年以上數據分析、處理等相關經驗2. 具有策略邏輯思考、分析判斷與溝通能力3. 對於數據與分析具有熱情。4. 具有客戶經驗。5. 熟悉雲端服務產品、SaaS、雲端佈建 確認投遞履歷前請先至伊雲谷官網及伊雲谷產品網站https://product.ecloudvalley.com 了解一下我們吧！,,網際網路相關業,0
深度(機器)學習資料科學家,慧穩科技股份有限公司,40000.0,2年以上,"1. 深度學習資料分析運用於機器視覺
2. 深度學習演算法研究
3. 資料前處理：確認客戶需求及資料來源彙整、依據資料分析需求，進行資料清理、邏輯運算與彙總 
4. 資料轉檔與分析: 資料轉檔、篩選、比對、彙總、分析相關作業數據 
5. 預測分析: 深度學習演算法, 建置模組, 優化模組
6. 資料呈現：依據專案需求特性，提供對應之資料呈現模式，資料邏輯調整與維護 
7. 建構資料與即時運算系統整合服務 
8. 參與產品需求收集與測試","1.熱愛學習新技術智識。 2.熟悉統計、數值分析、機器學習、深度學習之概念。 3.對 CNN、RNN、GAN 等 Model 實作練習超過6個月以上。4.對市面上的深度學習平台(Tensorflow, MXNet or Caffe)熟悉", Linux C C# C++ Python,電腦軟體服務業,2
Senior Data Scientist (資深資料科學家),行動貝果有限公司,40000.0,2年以上,"1. Use machine learning and analytical techniques to build prediction model for demand forecasting and predictive maintenance.  
2. Experience in analyzing and extracting valuable information from large amounts of business data.
3. Co-operate with core tech dept. to develop prediction module. 
4. Design efficient, scalable, automated processes for large scale data analyses, model development, model validation and model implementation. 
5. Research and evaluate pioneering machine learning and statistical model.","[Requirements]* Have a degree in a quantitative discipline such as like physics, mathematics, computational chemistry, statistics etc.* At least 2 years of experience in data analyzing* Fluency in a programming language (Python, C, C++, Java, SQL)* Working knowledge of complex data analysis including but not limited to machine learning, time series, deep learning. 我們正尋找相同理念，並期待一同快速成長的團隊夥伴，我們希望你：1. 自我驅動力高，樂於接受挑戰，並享受突破困難與解決問題的成就感2. 在彈性與信任的環境中，仍然高度自律，完成任務達成使命3. 重視使用者需求，與團隊成員共同優化系統，帶動更高的轉換與成長率4. 理解並認同大數據、資料分析、人工智慧對於人類未來的意義5. 認同與理解新創團隊的精神，對於目標有極高熱忱與拼勁，並樂於幫助他人，與團隊成員一同成長 6. 樂於站上國際舞台，享受挑戰並接受挑戰者", Python,數位內容產業,2
【研發替代役】資料科學家,國泰人壽保險股份有限公司_總公司_國泰金控,40000.0,經歷不拘,"1.運用統計及機器學習等技術，進行客戶洞察、行銷、風險及相關營運預測分析。
2.執行金融科技相關計畫，自資料中萃取出商業價值。",1.學歷：碩士2.科系：資訊工程學類、資訊管理學類、數學統計類3.職缺需求條件：(1)具備機器學習專業知識 (2)熟悉統計分析軟體如R、Python、SAS等(一項或多項) (3)具備機器學習相關應用經驗者尤佳(4)具有良好溝通協調能力本職缺只接受國泰人壽徵才網站的履歷表，請立即至以下網址登錄您的資料(限使用IE瀏覽器)：『https://www.cathaylife.com.tw/bc/B2CWebGroup/pages/Hiring/S0_0510.jsp』本次報名初審合格者將以E-MAIL通知，請勿來電查詢，謝謝。, Excel Outlook PowerPoint Word 中文打字20~50 英文打字20~50 TOEIC GEPT中級 FLPT(English),人身保險業,0
【108年研發替代役】資料科學家,華新麗華股份有限公司,40000.0,經歷不拘,"華新麗華再造工業典範（創新轉型之路）　誠摯邀請您的加入

華新麗華成立於1966年，今年邁入第52年，回首過往的五十年，在見證世界從製造經濟走向知識經濟的同時，華新麗華亦竭盡所能的轉型精進，努力將專業與資源充分運用，創造多元且可持續的發展，期盼能成為經得起時代淬鍊、真正卓越的企業，為社會帶來關鍵、有意義的影響，而這樣的信念與使命華新麗華都必須持守、力行與傳承。 

自90年代起，華新麗華積極在台灣與大陸設廠，以穩健、誠信之企業理念，逐步在兩岸線纜與不銹鋼領域中嶄露頭角；近年來，工業4.0浪潮來襲，是企業提升能力的時代機遇，藉由智能化的推進，我們期望能夠提供具有“匠人”精神的人才一個能夠發揮發光的環境，達成華新麗華在科技應用、精密工程、精實管理、市場導向以及以人為本的企業目標，這其中“匠人”精神更是帶動企業轉型與突破的關鍵。 
　　
匠人，指的是熱愛自己的工作，更不逃避瑕疵與失敗，一心只想著如何改善與追求極致，“用心做事”是他們的人生哲學，並希望將畢生所學傳承下去，這樣的態度稱之為「匠人精神」。我們相信，在各領域中皆有匠人，因此，我們努力尋找在各領域中的匠人，隨著策略工作的推動，發揮所長。

1.進行資料清整, 並對企業需求提供資料分析, 建模與視覺化服務
2.其他主管交辦事項工作",NA,,其他機械製造修配業,0
資料科學家_自然語言處理(NLP),前進智能股份有限公司,40000.0,經歷不拘,"工作內容:
開發分詞、命名實體識別等基礎 NLP 算法
利用自然語言處理之理論和方法解決未登錄詞、知識建構與抽取等問題

必要條件:
具自然語言處理(NLP)相關經驗，包括分詞、詞向量、命名實體識別、文本分類、情緒偵測等
具資訊工程或相關領域之學士、碩士以上學位
熟悉 Python
熟悉 Tensorflow (Keras), PyTorch, Caffe 等其中一種或多種工具
熟悉 Linux, Unix 操作系統
具備強烈自我學習及解決問題的能力，善於溝通和表達，並具良好的團隊合作精神和主動意識

加分條件，具備以下相關知識或經驗者尤佳 :
有獨立進行 paper survey 之能力
精通英文聽、說、讀、寫尤佳
",未填寫, C C++ Java Python,其它軟體及網路相關業,0
SLA SBG - Data Scientist  資料科學家(內湖),光寶科技股份有限公司,40000.0,3年以上,"1.採用機械學習與深度學習的演算法，應用於工廠的產品品質瑕疵檢測[AOI & Machine vision] [如: SMT-PCB (半成品與成品檢驗)與Assembly (半成品與成品檢驗)]。
2.採用機械學習與深度學習的演算法，應用於企業營運的商業數據(BI)(如:產、銷、人、發與財等五面向) 關鍵項目的預測來提供給高階主管進行決策。",1. 領域: 製造業2. 科系: 理工系相關-資訊工程、工業工程、與數學學系尤佳3. 至少近期從事3 年以上的相似於職務說明之相關經驗4. 必備 Python 應用於上述職務說明的實務經驗，且熟悉機械學習與深度學習套件 (如: Scikit-learn、Keras與Tensorflow.等)5. 略懂 資料工程師相關技能:資料庫串接、處理與軟體應用開發平台。(如:Hadoop Ecosystem 相關知識或使用經驗尤佳), Python R,消費性電子產品製造業,3
2019研發替代役-資料科學家,中國人壽保險股份有限公司(總公司),40000.0,經歷不拘,"1.規劃資料萃取、資料清理與理解、資料探勘、模型建置、場景發想與運用
2.跨部門分析專案、BI優化專案
3.金融科技相關計畫

【需符合2019年研發替代役資格】 ","1.碩士(含)以上，具研發替代役資格者。2.自傳中務必註明論文題目及內容/所學專長、領域或曾參與之專案說明。3.具金融科技應用概念。4.有Linux使用經驗與程式開發經驗，如Python, R等",,人身保險業,0
RRS0000-資料科學家(汐止),緯創資通股份有限公司,40000.0,經歷不拘,"1. 協助定義專案分析的範圍以及方法論，定義假說以及指標,調整設計數據模型
2. 將商業問題轉化為可分析的條件以及狀態
3. 帶領數據團隊挑戰實際商業活動的數據分析
4. 定義解決方法步驟的優先度
5. 使用統計，數學,機器學習等方法分析商業活動產生的資料
6. 開發分析工具套件協助分析
7. 設計建立預測工具
8. 尋找分析資料產生的新洞見","1.   良好的溝通以及呈現能力，能解釋複雜分析方法給予其他領域的專家了解2.   應用機器學習方法論解決商業問題的經驗3.   熟悉程式開發在下列至少一項程式語言C, Java, R, Python, Perl, Scala4.   參與過Kaggle或Datathon分析比賽5.   有預測數據專案的實際經驗",,電腦及其週邊設備製造業,0
資料科學家 Data Scientist 專職/長期實習,塞席爾商悠福科技股份有限公司,40000.0,經歷不拘,"與團隊配合並了解公司需求以及提出解決方案 (hands-on programming)
演算法開發及優化
進行資料統計分析
協助團隊建立及優化廣告推薦系統                                         
",歡迎學生長期實習,,網際網路相關業,0
資料科學工程師(竹科),晶元光電股份有限公司(晶電),40000.0,經歷不拘,使用Exploratory Data Analysis、 Machine Learning等方法對工程資料進行AI應用開發,1.熟Python、Linux、SQL2.具有Tensorflow、Pytorch神經網路設計經驗。3.會C++、C#、R、Tableau尤佳, Linux C# C++ Python R,光電產業,0
RS00000-醫療資料科學家(汐止),緯創資通股份有限公司,40000.0,5年以上,"1. 能獨立運作，與客戶溝通討論，協助客戶釐清需求，提出資料運用模型
2. 透過統計，演算模型，機器學習手法分析資料，提出解決問題的方案
3. 設計資料分析的方法，規劃資料分析服務的內容
4. 能夠團隊合作，與不同領域的人員協同運作，進行資料科學工作
5. 協助醫療資料分析服務業務的推動
","1. 五年以上資料分析相關實務經驗，或系統開發，資料庫開發相關經驗2. 有醫療相關系統的開發，或醫院相關系統開發經驗3. 醫療資料庫開發相關經驗，醫療資料分析相關經驗4. 熟悉資料分析和機器學習，熟悉各種演算法，機器學習模型，熟悉至少一種語言：Java, Python, R5. 必須熟悉資料庫設計或資料庫管理6. Nice to have: Deep Learning, DBA, 醫療資訊管理師", Java Python R,電腦及其週邊設備製造業,5
數據分析資料科學家(台中)-B80B,精誠資訊股份有限公司,40000.0,2年以上,"1.協同資料科學家，建立Machine Learning/Deep Learning 模型，包裝成應用程式 (application)，部署至平台 (MS Azure, SAP Cloud Platform) 上
2. 客製化軟體設計、API撰寫、WEB設計、APP設計
3. 可以撰寫Edge端客製化應用程式，銜接Cloud與Edge
4. 資料萃取、資料分析、資料探勘、演算法規劃、模型建置","1. 熟悉並能應用以下程式語言之二或以上Android、iOS、RWD、Java,Html5、PHP或C# 2. 了解Python、R、Caffee、TensorFlow或Keras3. 熟悉MS Azure ML或是SAP Analytic Cloud尤佳", Python R,電腦系統整合服務業,2
RRS0000-資料科學應用顧問(汐止),緯創資通股份有限公司,40000.0,5年以上,"1. 與客戶溝通討論，協助客戶資料的萃取及整理
2. 協助參與客戶資料的分析與問題，假設和解決方案的設計
3. 參與設計機器學習，深度學習，人工智慧模型的建立與訓練，測試與評估
4. 提供客戶資料科學方面的教育訓練及諮詢顧問服務
5. 協助客戶資料科學相關的解決方案規劃與建置
","1. Programming skill: C++, Java, .NET, R, Python2. 至少熟悉 R or Python 其中一項開發程式設計3. 熟悉資料科學所需要的數學/統計相關知識4. 熟悉至少一項機器學習, 深度學習的設計工具5. Data Model design / Database plan and design related experiment6. Data Science related certification (nice to have)",,電腦及其週邊設備製造業,5
